FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
1/4/2020,5,-99,10,20,-99,71,65,-99,-99,33,29,32,-99,-99,-99,36,54,-99,55,-99,55,-99,67,33,72,64,24,-99,19,73,51,-99,39,29,134
1/4/2020,6,-99,17,18,-99,59,61,-99,-99,35,48,21,-99,-99,-99,64,40,-99,87,-99,57,-99,55,42,60,38,64,-99,32,44,32,-99,77,19,155
1/4/2020,7,-99,37,23,-99,55,57,-99,-99,76,23,37,-99,-99,-99,83,36,-99,79,-99,80,-99,37,38,47,26,99,-99,43,62,32,-99,57,18,196
1/4/2020,8,-99,59,32,-99,44,74,-99,-99,63,17,19,-99,-99,-99,62,27,-99,70,-99,79,-99,39,48,41,19,102,-99,47,53,26,-99,52,15,160
1/4/2020,9,-99,58,23,-99,46,33,-99,-99,64,19,25,-99,-99,-99,40,30,-99,67,-99,48,-99,56,43,43,25,68,-99,55,48,41,-99,43,14,110
1/4/2020,10,-99,63,24,-99,56,39,-99,-99,44,21,24,-99,-99,-99,48,32,-99,67,-99,25,-99,47,43,51,34,55,-99,37,61,29,-99,46,11,64
1/4/2020,11,-99,56,34,-99,60,41,-99,-99,37,20,41,-99,-99,-99,53,25,-99,76,-99,20,-99,32,46,52,31,38,-99,47,-99,23,-99,56,13,59
1/4/2020,12,-99,44,30,-99,39,43,-99,-99,33,16,43,-99,-99,-99,64,24,-99,69,-99,19,-99,28,44,27,25,33,-99,47,44,23,-99,38,13,58
1/4/2020,13,-99,44,27,-99,36,48,-99,-99,38,11,38,-99,-99,-99,57,26,-99,62,-99,18,-99,25,45,26,27,36,-99,40,50,23,-99,33,14,48
1/4/2020,14,-99,47,24,-99,36,49,-99,-99,37,14,39,-99,-99,-99,54,21,-99,59,-99,15,-99,21,44,22,27,36,-99,28,40,19,-99,29,11,40
1/4/2020,15,-99,48,24,-99,30,46,-99,-99,34,12,34,-99,-99,-99,53,22,-99,58,-99,14,-99,23,42,21,24,33,-99,23,40,18,-99,26,12,36
1/4/2020,16,-99,46,19,-99,25,38,-99,-99,30,11,29,-99,-99,-99,45,25,-99,51,-99,14,-99,23,37,23,23,29,-99,23,36,16,-99,28,9,32
