FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
12/28/2020,20,-99,-99,4,-99,44,1,-99,-99,-99,39,8,-99,-99,-99,-99,-99,-99,61,4,18,-99,20,1,67,13,14,-99,13,28,-99,18,117,6,-99
12/28/2020,21,-99,-99,1,-99,35,1,-99,-99,-99,40,6,-99,-99,-99,-99,-99,-99,8,6,16,-99,5,1,44,10,9,-99,-99,22,-99,23,7,23,-99
12/28/2020,22,-99,-99,1,-99,21,1,-99,-99,-99,25,3,-99,-99,-99,-99,-99,-99,29,3,9,-99,18,1,26,18,5,-99,4,19,-99,55,23,24,-99
12/28/2020,23,-99,-99,1,-99,12,1,-99,-99,-99,46,4,-99,-99,-99,-99,-99,-99,10,4,83,-99,27,0,67,9,3,-99,7,13,-99,101,32,20,-99
12/28/2020,24,-99,-99,1,-99,20,1,-99,-99,-99,52,2,-99,-99,-99,-99,-99,-99,10,19,108,-99,35,0,60,8,3,-99,8,14,-99,69,16,33,-99
12/29/2020,1,-99,-99,0,-99,19,1,-99,-99,-99,55,1,-99,-99,-99,-99,-99,-99,7,25,53,-99,30,0,37,38,1,-99,11,1,-99,15,49,40,-99
12/29/2020,2,-99,-99,0,-99,15,3,-99,-99,-99,29,4,-99,-99,-99,-99,-99,-99,31,5,46,-99,12,0,19,14,1,-99,6,11,-99,11,65,36,-99
12/29/2020,3,-99,-99,1,-99,43,9,-99,-99,-99,46,0,-99,-99,-99,-99,-99,-99,43,2,46,-99,16,0,29,20,1,-99,5,14,-99,5,30,57,-99
12/29/2020,4,-99,-99,1,-99,27,2,-99,-99,-99,62,0,-99,-99,-99,-99,-99,-99,52,4,36,-99,13,0,77,32,1,-99,3,3,-99,12,8,53,-99
12/29/2020,5,-99,-99,1,-99,85,1,-99,-99,-99,50,5,-99,-99,-99,-99,-99,-99,53,40,34,-99,35,0,39,34,2,-99,3,3,-99,36,5,58,-99
12/29/2020,6,-99,-99,8,-99,164,1,-99,-99,-99,104,10,-99,-99,-99,-99,-99,-99,89,56,98,-99,42,12,56,57,4,-99,3,10,-99,13,31,27,-99
12/29/2020,7,-99,-99,44,-99,322,4,-99,-99,-99,209,51,-99,-99,-99,-99,-99,-99,122,51,81,-99,60,37,97,133,18,-99,4,39,-99,71,39,48,-99
12/29/2020,8,-99,-99,90,-99,173,22,-99,-99,-99,257,79,-99,-99,-99,-99,-99,-99,154,230,322,-99,77,76,242,180,28,-99,10,76,-99,48,111,57,-99
12/29/2020,9,-99,-99,57,-99,110,58,-99,-99,-99,246,85,-99,-99,-99,-99,-99,-99,161,120,234,-99,68,37,193,111,19,-99,97,129,-99,52,107,95,-99
12/29/2020,10,-99,-99,43,-99,60,48,-99,-99,-99,68,63,-99,-99,-99,-99,-99,-99,140,61,51,-99,43,36,91,98,25,-99,30,125,-99,36,60,74,-99
12/29/2020,11,-99,-99,40,-99,54,48,-99,-99,-99,39,35,-99,-99,-99,-99,-99,-99,57,64,15,-99,20,29,33,48,23,-99,14,122,-99,38,28,39,-99
12/29/2020,12,-99,-99,33,-99,19,23,-99,-99,-99,13,25,-99,-99,-99,-99,-99,-99,11,38,6,-99,-99,19,16,13,26,-99,10,32,-99,11,13,12,-99
12/29/2020,13,-99,-99,14,-99,8,8,-99,-99,-99,5,13,-99,-99,-99,-99,-99,-99,7,7,1,-99,-99,5,4,4,11,-99,5,24,-99,5,4,3,-99
12/29/2020,14,-99,-99,3,-99,6,3,-99,-99,-99,2,7,-99,-99,-99,-99,-99,-99,4,4,1,-99,-99,1,2,4,6,-99,3,14,-99,2,3,2,-99
12/29/2020,15,-99,-99,1,-99,4,2,-99,-99,-99,1,6,-99,-99,-99,-99,-99,-99,3,3,1,-99,2,0,2,3,3,-99,2,9,-99,2,3,0,-99
12/29/2020,16,-99,-99,1,-99,3,2,-99,-99,-99,1,5,-99,-99,-99,-99,-99,-99,3,2,1,-99,2,0,2,3,3,-99,2,9,-99,2,3,0,-99
12/29/2020,17,-99,-99,1,-99,3,2,-99,-99,-99,1,6,-99,-99,-99,-99,-99,-99,2,1,1,-99,1,0,1,3,3,-99,1,7,-99,1,2,0,-99
