Fecha,promedioGas,Infectados,Defunciones,Hospitalizados,Acumulado,TIncidencia,Mortalidad,Letalidad,Poblacion,DensidadP,Cluster
2/1/2021,7.428571428571429,188,35,47,9137,0.004998719820030768,1.914799099278504,38.30578964649229,1827868,16152.95,4
2/6/2021,10.25,258,25,43,7917,0.004331275562567976,1.3677136423417884,31.577617784514338,1827868,16152.95,4
2/13/2021,3.119047619047618,240,19,39,6508,0.003560432153744144,1.0394623681797592,29.194837123540253,1827868,16152.95,4
2/20/2021,16.354166666666668,171,20,34,5631,0.003080638208010644,1.0941709138734308,35.517670040845324,1827868,16152.95,4
2/27/2021,32.083333333333336,163,19,27,4887,0.002673606628049728,1.0394623681797592,38.87865766318805,1827868,16152.95,4
3/6/2021,21.756340579710145,208,16,25,4996,0.0027332389428558297,0.8753367310987444,32.025620496397124,1827868,16152.95,4
3/10/2021,31.8125,299,19,23,4673,0.0025565303402652717,1.0394623681797592,40.65910549967901,1827868,16152.95,4
3/13/2021,25.583333333333336,162,18,18,4552,0.002490332999975928,0.9847538224860876,39.54305799648506,1827868,16152.95,4
3/20/2021,28.729166666666664,222,14,25,3947,0.002159346298529216,0.7659196397114014,35.46997719787179,1827868,16152.95,4
3/24/2021,23.875,306,14,16,3930,0.0021500458457612915,0.7659196397114014,35.6234096692112,1827868,16152.95,4
3/25/2021,25.8125,311,10,17,3874,0.002119409060172835,0.5470854569367154,25.813113061435214,1827868,16152.95,4
3/26/2021,26.267857142857142,192,15,15,3717,0.002033516643433771,0.820628185405073,40.35512510088781,1827868,16152.95,4
3/27/2021,27.78571428571429,219,10,11,3776,0.002065794685393037,0.5470854569367154,26.483050847457623,1827868,16152.95,4
3/29/2021,16.75,283,12,20,3962,0.0021675525803832663,0.6565025483240584,30.287733467945486,1827868,16152.95,4
3/30/2021,23.520833333333336,287,9,16,3834,0.0020975256418953665,0.4923769112430438,23.47417840375587,1827868,16152.95,4
3/31/2021,13.645833333333336,263,9,17,3713,0.002031328301606024,0.4923769112430438,24.239159709130085,1827868,16152.95,4
