Fecha,promedioGasNOX,Infectados,Defunciones
5/29/2020,2416.666666666667,957,111
5/30/2020,2121.7391304347825,566,102
5/31/2020,2090.4761904761904,432,130
6/1/2020,2745.833333333333,1089,114
6/2/2020,2145.833333333333,938,104
6/3/2020,1854.1666666666667,1002,120
6/4/2020,2525.0,946,112
6/5/2020,2530.4347826086955,959,105
6/6/2020,2076.190476190476,542,115
6/7/2020,1304.1666666666665,402,109
6/8/2020,2075.0,1031,124
6/9/2020,3887.5,1005,104
6/10/2020,3266.6666666666665,962,109
6/11/2020,1973.913043478261,880,112
6/12/2020,2057.1428571428573,926,114
6/13/2020,2112.5,417,119
6/14/2020,2108.333333333333,346,103
6/15/2020,2579.166666666667,925,76
6/16/2020,2600.0,991,114
6/17/2020,3113.0434782608695,955,106
6/18/2020,2990.4761904761904,941,98
6/19/2020,2462.5,884,89
6/20/2020,3012.5,448,66
6/21/2020,2750.0,274,92
6/22/2020,3362.5,878,72
6/23/2020,4373.684210526316,888,69
6/24/2020,2823.809523809524,806,57
6/25/2020,2908.333333333333,838,62
6/26/2020,2666.666666666667,923,73
6/27/2020,2512.5,377,83
6/28/2020,2162.5,318,63
6/29/2020,2926.086956521739,982,56
6/30/2020,3228.5714285714284,941,71
7/1/2020,2429.166666666667,1012,75
7/2/2020,2583.333333333333,886,59
7/3/2020,2545.833333333333,948,63
7/4/2020,2608.333333333333,387,73
7/5/2020,2552.173913043478,242,62
7/6/2020,4028.5714285714284,1007,73
7/7/2020,2666.666666666667,965,74
7/8/2020,2816.666666666667,960,49
7/9/2020,3808.3333333333335,755,58
7/10/2020,4625.0,883,47
7/11/2020,2452.173913043478,418,58
7/12/2020,2490.4761904761904,264,67
7/13/2020,3325.0,1086,55
7/14/2020,3862.5,943,67
7/15/2020,3216.6666666666665,1229,72
7/16/2020,3170.833333333333,1151,56
7/17/2020,2721.7391304347825,1195,55
7/18/2020,2809.5238095238096,669,64
7/19/2020,2433.333333333333,273,57
7/20/2020,3329.1666666666665,1169,54
7/21/2020,2912.5,1173,53
7/22/2020,2645.833333333333,1210,42
7/23/2020,3740.0,1131,53
7/24/2020,2490.4761904761904,1078,44
7/25/2020,2958.333333333333,565,59
7/26/2020,2650.0,269,53
7/27/2020,3216.6666666666665,1074,50
7/28/2020,1641.6666666666667,1076,47
7/29/2020,3926.086956521739,1088,35
7/30/2020,4057.142857142857,1062,58
7/31/2020,3733.3333333333335,950,46
8/1/2020,4116.666666666666,549,47
