FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,CUA,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAG,SAC,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
1/2/2020,7,-99,-99,-99,0.1,0.5,0.1,-99,0.1,0.3,-99,-99,0.1,0.2,0.2,0.8,0.2,0.3,0.2,0,0.3,0.1,-99,0.4,0.1,-99,0.2,0.3,0.1,-99,0.1,0.3,-99
1/2/2020,8,-99,-99,-99,0.2,1.1,0.2,-99,0.1,0.2,-99,-99,0.1,0.3,0.4,0.8,0.2,0.8,0.2,0.1,0.4,0.1,-99,0.5,0.2,-99,0.2,0.3,0.1,-99,0.1,0.6,-99
1/2/2020,9,-99,-99,-99,0.2,0.3,0.2,-99,0.1,0.2,-99,-99,0.1,0.3,0.5,0.5,0.2,0.4,0.2,0,0.4,0.1,-99,0.6,0.1,-99,0.2,0.4,0.1,-99,0.1,0.7,-99
1/2/2020,10,-99,-99,-99,0.1,0.2,0.2,-99,0.1,0.1,-99,-99,0.1,0.3,0.3,0.4,0.1,0.2,0.1,0,0.2,0.1,-99,0.5,0.1,-99,0.1,0.3,0.2,-99,0.1,0.4,-99
1/2/2020,11,-99,-99,-99,0.1,0.2,0.2,-99,0.1,0.1,-99,-99,0.1,0.2,0.3,0.1,0.1,0.1,0.1,0,0.2,0.1,0.3,0.6,0.1,-99,0.1,0.2,0.2,-99,0.1,0.3,-99
1/2/2020,12,-99,-99,-99,0.1,0.1,0.1,-99,0.1,0.1,-99,-99,0.1,0.2,0.2,0.3,0.2,0.1,0.1,0.1,0.2,0,0.3,0.6,0.1,-99,0.1,0.1,0.1,-99,0.1,0.2,-99
1/2/2020,13,-99,-99,-99,0.1,0.1,0.1,-99,0.1,0.1,-99,-99,0.1,0.1,0.3,0.2,0.3,0.1,0.1,0.1,0.1,0,0.2,0.6,0.1,-99,0.1,0.1,0.1,-99,0.1,0.1,-99
1/2/2020,14,-99,-99,-99,0.1,0.1,0.1,-99,0.2,0.1,-99,-99,0.1,0.1,0.3,0.2,0.3,0.1,0.1,0.1,0.1,0,0.2,0.6,0.1,-99,0.1,0.2,0.1,-99,0.1,0.1,-99
1/2/2020,15,-99,-99,-99,0.1,0.1,0.1,-99,0.2,0.1,-99,-99,0.1,0.1,0.3,0.3,0.3,0,0.1,0.1,0.2,0,0.2,0.6,0.1,-99,0.1,0.1,0,-99,0.1,-99,0.2
1/2/2020,16,-99,-99,-99,0.1,0.1,0.1,-99,0.2,0.1,-99,-99,0.1,0.1,0.3,0.2,0.4,0,0.1,0.1,0.2,0,0.2,0.6,0.1,-99,0.1,0.1,0,-99,0.1,0.1,0.2
